nreqs,ctxlen,prefixlen,relay,Memory (GB),Lantency (us),KV mem (GB),Prefix KV mem (GB),cache_op,attn_usr,attn_sys,relay_fusion,others
4,128,64,false,0.027262976,72.25137203931808,0.020447328,0.0,15,20,0,0,37.251372039318085
8,256,256,true,0.081788928,157.9339150339365,0.054526048,0.00681584,15,39,13,3,87.9339150339365
4,256,4096,true,0.144703488,289.15559872984886,0.027263072,0.109052,14,20,83,2,170.15559872984886
1,256,4096,true,0.13631488,260.94148866832256,0.00681584,0.109052,14,15,83,2,146.94148866832256
8,256,512,true,0.081788928,168.41388307511806,0.054526048,0.013631584,16,35,19,3,95.41388307511806
8,256,2048,false,0.497025024,726.4078315347433,0.490733664,0.0,15,282,0,0,429.4078315347433
1,128,64,false,0.027262976,68.52480582892895,0.005111904,0.0,14,15,0,0,39.52480582892895
16,128,4096,false,1.805647872,2437.285128980875,1.799356512,0.0,16,1056,0,0,1365.285128980875
8,128,128,false,0.060817408,116.68731458485126,0.054526048,0.0,16,37,0,0,63.687314584851265
16,128,16384,true,0.497025024,807.0266060531139,0.054526048,0.436207712,15,34,266,3,489.02660605311394
8,256,512,false,0.169869312,265.69265872240067,0.163577952,0.0,15,100,0,0,150.69265872240067
1,128,256,true,0.027262976,109.74492877721786,0.003407968,0.00681584,14,11,14,2,68.74492877721786
1,256,512,false,0.027262976,108.99586603045464,0.020447328,0.0,14,28,0,0,66.99586603045464
64,128,128,true,0.249561088,433.6999822407961,0.218103904,0.003407968,29,132,15,6,251.6999822407961
4,256,2048,false,0.253755392,391.58834144473076,0.24536688,0.0,15,146,0,0,230.58834144473076
8,256,16384,false,3.571449856,4887.004923075438,3.544186976,0.0,16,4809,0,0,62.004923075437546
1,256,64,true,0.027262976,108.91818441450596,0.00681584,0.001704032,13,15,11,2,67.91818441450596
32,256,64,true,0.226492416,394.32342164218426,0.218103904,0.001704032,19,132,11,4,228.32342164218426
64,256,1024,true,0.497025024,770.410094410181,0.436207712,0.027263072,24,254,35,6,451.41009441018105
32,128,512,true,0.1572864,260.47561317682266,0.109052,0.013631584,19,69,21,4,147.47561317682266
32,256,1024,false,1.096810496,1503.6872029304504,1.090519136,0.0,18,628,0,0,857.6872029304504
64,256,2048,true,0.522190848,810.4162849485874,0.436207712,0.054526048,23,257,55,6,469.4162849485874
16,256,8192,true,0.333447168,545.1767798513174,0.109052,0.218103904,15,64,142,3,321.1767798513174
16,128,8192,false,3.571449856,4905.497943982482,3.544186976,0.0,16,4797,0,0,92.49794398248196
4,256,64,true,0.035651584,111.4428136497736,0.027263072,0.001704032,14,24,10,2,61.4428136497736
1,128,128,false,0.027262976,72.14291952550411,0.00681584,0.0,15,17,0,0,40.14291952550411
32,128,1024,false,0.987758592,1363.531481474638,0.981467232,0.0,21,577,0,0,765.531481474638
128,128,256,true,0.484442112,809.5850609242916,0.436207712,0.00681584,56,258,21,9,465.5850609242916
1,128,8192,true,0.245366784,445.356834679842,0.003407968,0.218103904,14,11,151,2,267.356834679842
1,128,2048,true,0.081788928,168.8363403081894,0.003407968,0.054526048,14,11,53,2,88.83634030818939
1,128,8192,false,0.228589568,350.0820603221655,0.221511776,0.0,14,129,0,0,207.0820603221655
1,256,128,false,0.027262976,75.60363970696926,0.010223712,0.0,13,21,0,0,41.60363970696926
32,128,128,true,0.13631488,257.045803591609,0.109052,0.003407968,19,72,15,4,147.045803591609
1,256,8192,true,0.245366784,402.52125822007656,0.00681584,0.218103904,15,15,140,2,230.52125822007656
4,128,4096,false,0.459276288,638.5704688727856,0.4498392,0.0,14,253,0,0,371.57046887278557
1,128,256,false,0.027262976,48.86288195848465,0.010223712,0.0,12,16,0,0,20.86288195848465
4,128,2048,false,0.24117248,350.6631962954998,0.231735392,0.0,15,138,0,0,197.6631962954998
128,128,2048,false,7.463763968,9949.892712756991,7.415529568,0.0,63,9759,0,0,127.89271275699139
32,128,64,false,0.169869312,298.97963628172874,0.163577952,0.0,20,106,0,0,172.97963628172874
64,256,64,false,0.553648128,810.5094078928232,0.545259616,0.0,32,320,0,0,458.5094078928232
32,256,8192,true,0.463470592,720.8734191954136,0.218103904,0.218103904,17,129,143,4,427.8734191954136
64,128,16384,true,0.685768704,1085.7232473790646,0.218103904,0.436207712,23,142,268,6,646.7232473790646
128,128,128,true,0.484442112,773.6284751445055,0.436207712,0.003407968,59,248,14,9,443.6284751445055
16,256,256,true,0.13631488,250.51739066839218,0.109052,0.00681584,17,70,14,3,146.51739066839218
32,256,128,true,0.245366784,405.000364407897,0.218103904,0.003407968,19,134,15,4,233.000364407897
64,128,2048,true,0.30408704,528.5076610744,0.218103904,0.054526048,22,131,57,6,312.50766107439995
16,128,16384,false,7.061110784,9671.254632994533,7.033847904,0.0,16,9517,0,0,138.25463299453259
4,128,512,true,0.048234496,113.32805268466473,0.013631584,0.013631584,15,16,20,2,60.328052684664726
4,256,8192,true,0.253755392,442.1277344226837,0.027263072,0.218103904,14,20,142,2,264.1277344226837
4,256,512,true,0.056623104,147.58972451090813,0.027263072,0.013631584,16,25,19,2,85.58972451090813
32,256,512,false,0.66060288,912.8552675247192,0.65431152,0.0,19,384,0,0,509.85526752471924
32,256,1024,true,0.274726912,441.70006178319454,0.218103904,0.027263072,18,124,33,4,262.70006178319454
